VQFN64/TQFP64,VQFN48/TQFP48,VQFN32/TQFP32,SPDIP28/SOIC28/SSOP28,Pin Name,Special,ADC0,PTC,ACn,DAC0,ZCDn,USARTn,SPIn,TWIn,TCA0,TCA1,TCBn,TCD0,EVSYS,CCL-LUTn
24,18,,,PC6,,,,0:OUT(3) 1:OUT(3) 2:OUT(3),,,1:XCK(3),1:SCK(3),0:SDA(S),,WO2(3),4:WO(3),,,1:OUT(3)
25,19,,,PC7,,,,,,0:OUT(3) 1:OUT(3) 2:OUT(3),1:XDIR(3),1:SS(3),0:SCL(S),,,,,EVOUTC (3),
26,20,10,6,PD0,,AIN0,X16/Y16,0:AINN1 1:AINN1 2:AINN1,,,,,,WO0(3),,,,,2:IN0
27,21,11,7,PD1,,AIN1,X17/Y17,,,0:ZCIN,,,,WO1(3),,,,,2:IN1
28,22,12,8,PD2,,AIN2,X18/Y18,0:AINP0 1:AINP0 2:AINP0,,,,,,WO2(3),,,,EVOUTD,2:IN2
29,23,13,9,PD3,,AIN3,X19/Y19,0:AINN0 1:AINP1,,,,,,WO3(3),,,,,2:OUT
30,24,14,10,PD4,,AIN4,X20/Y20,1:AINP2 2:AINP1,,,,,,WO4(3),,,,,
31,25,15,11,PD5,,AIN5,X21/Y21,1:AINN0,,,,,,WO5(3),,,,,
32,26,16,12,PD6,,AIN6,X22/Y22,0:AINP3 1:AINP3 2:AINP3,VOUT,,,,,,,,,,2:OUT(3)
33,27,17,13,PD7,VREFA,AIN7,X23/Y23,0:AINN2 1:AINN2 2:AINN0/AINN2,,,,,,,,,,EVOUTD (3),
36,30,,,PE0,,AIN8,X24/Y24,0:AINP1,,,4:TxD,0:MOSI(3),,WO0(3),,,,,
37,31,,,PE1,,AIN9,X25/Y25,2:AINP2,,,4:RxD,0:MISO(3),,WO1(3),,,,,
38,32,,,PE2,,AIN10,X26/Y26,0:AINP2,,,4:XCK,0:SCK(3),,WO2(3),,,,EVOUTE,
39,33,,,PE3,,AIN11,X27/Y27,,,1:ZCIN,4:XDIR,0:SS(3),,WO3(3),,,,,
40,,,,PE4,,AIN12,X28/Y28,,,,4:TxD(3),,,WO4(3),WO0(3),,,,
41,,,,PE5,,AIN13,X29/Y29,,,,4:RxD(3),,,WO5(3),WO1(3),,,,
42,,,,PE6,,AIN14,X30/Y30,,,,4:XCK(3),,,,WO2(3),,,,
43,,,,PE7,,AIN15,X31/Y31,,,2:ZCIN,4:XDIR(3),,,,,,,EVOUTE (3),
44,34,20,16,PF0,XTAL32K1,AIN16(6),X32/Y32,,,,2:TxD,,,WO0(3),,,0:WOA(3),,3:IN0
45,35,21,17,PF1,XTAL32K2,AIN17(6),X33/Y33,,,,2:RxD,,,WO1(3),,,0:WOB(3),,3:IN1
46,36,22,,PF2,TWI,AIN18(6),X34/Y34,,,,2:XCK,,1:SDA(M),WO2 (3),,,0:WOC (3),EVOUTF,3:IN2
47,37,23,,PF3,TWI,AIN19(6),X35/Y35,,,,2: XDIR,,1:SCL(M),WO3 (3),,,0:WOD (3),,3:OUT
48,38,24,,PF4,,AIN20(6),X36/Y36,,,,2: TxD (3),,,WO4 (3),,0:WO (3),,,
49,39,25,,PF5,,AIN21(6),X37Y37,,,,2: RxD (3),,,WO5(3),,1:WO(3),,,
50,40,26,18,PF6 (5),RESET,,,,,,,,,,,,,,
51,41,27,19,UPDI,,,,,,,,,,,,,,,
52,,,,PG0,,,X40/Y40,,,,5: TxD,,,WO0 (3),WO0 (3),,,,5:IN0
53,,,,PG1,,,X41/Y41,,,,5:RxD,,,WO1(3),WO1(3),,,,5:IN1
54,,,,PG2,,,X42/Y42,,,,5:XCK,,,WO2(3),WO2(3),,,EVOUTG,5:IN2
55,,,,PG3,,,X43/Y43,,,,5:XDIR,,,WO3(3),WO3(3),4:WO,,,5:OUT
58,,,,PG4,,,X44/Y44,,,,5:TxD(3),0:MOSI(3),,WO4(3),WO4(3),,0:WOA(3),,
59,,,,PG5,,,X45/Y45,,,,5:RxD(3),0:MISO(3),,WO5(3),WO5(3),,0:WOB(3),,
60,,,,PG6,,,X46/Y46,,,,5:XCK(3),0:SCK(3),,,,,0:WOC(3),,5:OUT(3)
61,,,,PG7,,,X47/Y47,,,,5:XDIR(3),0:SS(3),,,,,0:WOD(3),EVOUTG (3),
6,,,,VDD,,,,,,,,,,,,,,,
20,14,,,VDD,,,,,,,,,,,,,,,
56,42,28,20,VDD,,,,,,,,,,,,,,,
34,28,18,14,AVDD,,,,,,,,,,,,,,,
7,,,,GND,,,,,,,,,,,,,,,
21,15,,,GND,,,,,,,,,,,,,,,
35,29,19,15,GND,,,,,,,,,,,,,,,
57,43,29,21,GND,,,,,,,,,,,,,,,
